date,day,type,index_future,index_option,stock_future,stock_option
2011-06-30,Thursday,monthly,True,True,True,True
2011-07-28,Thursday,monthly,True,True,True,True
2011-08-25,Thursday,monthly,True,True,True,True
2011-09-29,Thursday,monthly,True,True,True,True
2011-10-25,Tuesday,monthly,True,True,True,True
2011-11-24,Thursday,monthly,True,True,True,True
2011-12-29,Thursday,monthly,True,True,True,True
2012-01-25,Wednesday,monthly,True,True,True,True
2012-02-23,Thursday,monthly,True,True,True,True
2012-03-29,Thursday,monthly,True,True,True,True
2012-04-26,Thursday,monthly,True,True,True,True
2012-05-31,Thursday,monthly,True,True,True,True
2012-06-28,Thursday,monthly,True,True,True,True
2012-07-26,Thursday,monthly,True,True,True,True
2012-08-30,Thursday,monthly,True,True,True,True
2012-09-27,Thursday,monthly,True,True,True,True
2012-10-25,Thursday,monthly,True,True,True,True
2012-11-29,Thursday,monthly,True,True,True,True
2012-12-27,Thursday,monthly,True,True,True,True
2013-01-31,Thursday,monthly,True,True,True,True
2013-02-28,Thursday,monthly,True,True,True,True
2013-03-28,Thursday,monthly,True,True,True,True
2013-04-25,Thursday,monthly,True,True,True,True
2013-05-30,Thursday,monthly,True,True,True,True
2013-06-27,Thursday,monthly,True,True,True,True
2013-07-25,Thursday,monthly,True,True,True,True
2013-08-29,Thursday,monthly,True,True,True,True
2013-09-26,Thursday,monthly,True,True,True,True
2013-10-31,Thursday,monthly,True,True,True,True
2013-11-28,Thursday,monthly,True,True,True,True
2013-12-26,Thursday,monthly,True,True,True,True
2014-01-30,Thursday,monthly,True,True,True,True
2014-02-26,Wednesday,monthly,True,True,True,True
2014-03-27,Thursday,monthly,True,True,True,True
2014-04-24,Thursday,monthly,True,True,True,True
2014-05-29,Thursday,monthly,True,True,True,True
2014-06-26,Thursday,monthly,True,True,True,True
2014-07-31,Thursday,monthly,True,True,True,True
2014-08-28,Thursday,monthly,True,True,True,True
2014-09-25,Thursday,monthly,True,True,True,True
2014-10-30,Thursday,monthly,True,True,True,True
2014-11-27,Thursday,monthly,True,True,True,True
2014-12-24,Wednesday,monthly,True,True,True,True
2015-01-29,Thursday,monthly,True,True,True,True
2015-02-26,Thursday,monthly,True,True,True,True
2015-03-26,Thursday,monthly,True,True,True,True
2015-04-30,Thursday,monthly,True,True,True,True
2015-05-28,Thursday,monthly,True,True,True,True
2015-06-25,Thursday,monthly,True,True,True,True
2015-07-30,Thursday,monthly,True,True,True,True
2015-08-27,Thursday,monthly,True,True,True,True
2015-09-24,Thursday,monthly,True,True,True,True
2015-10-29,Thursday,monthly,True,True,True,True
2015-11-26,Thursday,monthly,True,True,True,True
2015-12-31,Thursday,monthly,True,True,True,True
2016-01-28,Thursday,monthly,True,True,True,True
2016-02-25,Thursday,monthly,True,True,True,True
2016-03-31,Thursday,monthly,True,True,True,True
2016-04-28,Thursday,monthly,True,True,True,True
2016-05-26,Thursday,monthly,True,True,True,True
2016-06-02,Thursday,weekly,False,True,False,False
2016-06-09,Thursday,weekly,False,True,False,False
2016-06-16,Thursday,weekly,False,True,False,False
2016-06-23,Thursday,weekly,False,True,False,False
2016-06-30,Thursday,monthly,True,True,True,True
2016-07-07,Thursday,weekly,False,True,False,False
2016-07-14,Thursday,weekly,False,True,False,False
2016-07-21,Thursday,weekly,False,True,False,False
2016-07-28,Thursday,monthly,True,True,True,True
2016-08-04,Thursday,weekly,False,True,False,False
2016-08-11,Thursday,weekly,False,True,False,False
2016-08-18,Thursday,weekly,False,True,False,False
2016-08-25,Thursday,monthly,True,True,True,True
2016-09-01,Thursday,weekly,False,True,False,False
2016-09-08,Thursday,weekly,False,True,False,False
2016-09-15,Thursday,weekly,False,True,False,False
2016-09-22,Thursday,weekly,False,True,False,False
2016-09-29,Thursday,monthly,True,True,True,True
2016-10-06,Thursday,weekly,False,True,False,False
2016-10-13,Thursday,weekly,False,True,False,False
2016-10-20,Thursday,weekly,False,True,False,False
2016-10-27,Thursday,monthly,True,True,True,True
2016-11-03,Thursday,weekly,False,True,False,False
2016-11-10,Thursday,weekly,False,True,False,False
2016-11-17,Thursday,weekly,False,True,False,False
2016-11-24,Thursday,monthly,True,True,True,True
2016-12-01,Thursday,weekly,False,True,False,False
2016-12-08,Thursday,weekly,False,True,False,False
2016-12-15,Thursday,weekly,False,True,False,False
2016-12-22,Thursday,weekly,False,True,False,False
2016-12-29,Thursday,monthly,True,True,True,True
2017-01-05,Thursday,weekly,False,True,False,False
2017-01-12,Thursday,weekly,False,True,False,False
2017-01-19,Thursday,weekly,False,True,False,False
2017-01-25,Wednesday,monthly,True,True,True,True
2017-02-02,Thursday,weekly,False,True,False,False
2017-02-09,Thursday,weekly,False,True,False,False
2017-02-16,Thursday,weekly,False,True,False,False
2017-02-23,Thursday,monthly,True,True,True,True
2017-03-02,Thursday,weekly,False,True,False,False
